orderdate,productcode,ordernumber,initial_qnty_in_stock,quantityordered,product_sold_so_far,updatedStock,are_we_going_to_fulfill_next_order
2005-05-01,S10_1949,10411,7305,23,911,6394,yes
2005-05-31,S10_1949,10424,7305,50,961,6344,yes
2003-02-24,S10_2016,10107,6625,39,39,6586,yes
2003-04-29,S10_2016,10120,6625,29,68,6557,yes
2003-07-01,S10_2016,10134,6625,27,95,6530,yes
2003-08-25,S10_2016,10145,6625,37,132,6493,yes
2003-10-10,S10_2016,10159,6625,37,169,6456,yes
2003-10-28,S10_2016,10168,6625,27,196,6429,yes
2003-11-11,S10_2016,10180,6625,42,238,6387,yes
2003-11-18,S10_2016,10188,6625,38,276,6349,yes
2003-12-01,S10_2016,10201,6625,24,300,6325,yes
2004-01-12,S10_2016,10210,6625,23,323,6302,yes
2004-02-20,S10_2016,10223,6625,47,370,6255,yes
2004-04-03,S10_2016,10236,6625,22,392,6233,yes
2004-05-18,S10_2016,10251,6625,44,436,6189,yes
2004-06-28,S10_2016,10263,6625,40,476,6149,yes
2004-07-23,S10_2016,10275,6625,22,498,6127,yes
2004-08-27,S10_2016,10285,6625,47,545,6080,yes
2004-09-27,S10_2016,10298,6625,39,584,6041,yes
2004-10-15,S10_2016,10308,6625,34,618,6007,yes
2004-11-02,S10_2016,10318,6625,45,663,5962,yes
2004-11-15,S10_2016,10329,6625,20,683,5942,yes
2004-11-23,S10_2016,10339,6625,40,723,5902,yes
2004-12-04,S10_2016,10354,6625,20,743,5882,yes
2004-12-17,S10_2016,10361,6625,26,769,5856,yes
2005-02-02,S10_2016,10374,6625,39,808,5817,yes
2005-03-03,S10_2016,10388,6625,50,858,5767,yes
2005-04-01,S10_2016,10399,6625,51,909,5716,yes
2005-04-07,S10_2016,10402,6625,45,954,5671,yes
2005-05-13,S10_2016,10417,6625,45,999,5626,yes
2003-02-24,S10_4698,10107,5582,27,27,5555,yes
2003-04-29,S10_4698,10120,5582,46,73,5509,yes
2003-07-01,S10_4698,10134,5582,31,104,5478,yes
2003-08-25,S10_4698,10145,5582,33,137,5445,yes
2003-10-10,S10_4698,10159,5582,22,159,5423,yes
2003-10-28,S10_4698,10168,5582,20,179,5403,yes
2003-11-11,S10_4698,10180,5582,41,220,5362,yes
2003-11-18,S10_4698,10188,5582,45,265,5317,yes
2003-12-01,S10_4698,10201,5582,49,314,5268,yes
2004-01-12,S10_4698,10210,5582,34,348,5234,yes
2004-02-20,S10_4698,10223,5582,49,397,5185,yes
2004-04-05,S10_4698,10237,5582,39,436,5146,yes
2004-05-18,S10_4698,10251,5582,43,479,5103,yes
2004-06-28,S10_4698,10263,5582,41,520,5062,yes
2004-07-23,S10_4698,10275,5582,36,556,5026,yes
2004-08-27,S10_4698,10285,5582,27,583,4999,yes
2004-09-30,S10_4698,10299,5582,29,612,4970,yes
2004-10-15,S10_4698,10308,5582,20,632,4950,yes
2004-11-02,S10_4698,10318,5582,37,669,4913,yes
2004-11-15,S10_4698,10329,5582,26,695,4887,yes
2004-11-23,S10_4698,10339,5582,39,734,4848,yes
2004-12-04,S10_4698,10354,5582,42,776,4806,yes
2005-01-05,S10_4698,10362,5582,22,798,4784,yes
2005-02-02,S10_4698,10374,5582,22,820,4762,yes
2005-03-03,S10_4698,10388,5582,21,841,4741,yes
2005-04-01,S10_4698,10399,5582,22,863,4719,yes
2005-04-08,S10_4698,10403,5582,66,929,4653,yes
2005-05-13,S10_4698,10417,5582,56,985,4597,yes
2003-02-11,S10_4757,10105,3252,50,50,3202,yes
2003-04-28,S10_4757,10119,3252,46,96,3156,yes
2003-06-12,S10_4757,10129,3252,33,129,3123,yes
2003-08-10,S10_4757,10143,3252,49,178,3074,yes
2003-10-06,S10_4757,10155,3252,32,210,3042,yes
2003-10-23,S10_4757,10167,3252,44,254,2998,yes
2003-11-08,S10_4757,10178,3252,24,278,2974,yes
2003-11-14,S10_4757,10186,3252,26,304,2948,yes
2003-11-26,S10_4757,10197,3252,45,349,2903,yes
2004-01-09,S10_4757,10209,3252,39,388,2864,yes
2004-02-19,S10_4757,10222,3252,49,437,2815,yes
2004-03-30,S10_4757,10234,3252,48,485,2767,yes
2004-05-07,S10_4757,10248,3252,20,505,2747,yes
2004-06-17,S10_4757,10261,3252,27,532,2720,yes
2004-07-21,S10_4757,10273,3252,30,562,2690,yes
2004-08-20,S10_4757,10283,3252,25,587,2665,yes
2004-09-10,S10_4757,10295,3252,24,611,2641,yes
2004-10-14,S10_4757,10307,3252,22,633,2619,yes
2004-11-01,S10_4757,10316,3252,33,666,2586,yes
2004-11-05,S10_4757,10325,3252,47,713,2539,yes
2004-11-21,S10_4757,10337,3252,25,738,2514,yes
2004-12-02,S10_4757,10350,3252,26,764,2488,yes
2004-12-15,S10_4757,10359,3252,48,812,2440,yes
2005-01-31,S10_4757,10373,3252,39,851,2401,yes
2005-02-23,S10_4757,10384,3252,34,885,2367,yes
2005-03-17,S10_4757,10395,3252,32,917,2335,yes
2005-04-01,S10_4757,10400,3252,64,981,2271,yes
2005-05-06,S10_4757,10414,3252,49,1030,2222,yes
2003-01-29,S10_4962,10103,6791,42,42,6749,yes
2003-04-01,S10_4962,10114,6791,31,73,6718,yes
2003-05-28,S10_4962,10126,6791,22,95,6696,yes
2003-07-24,S10_4962,10140,6791,26,121,6670,yes
2003-09-19,S10_4962,10150,6791,20,141,6650,yes
2003-10-21,S10_4962,10164,6791,21,162,6629,yes
2003-11-06,S10_4962,10175,6791,33,195,6596,yes
2003-11-13,S10_4962,10183,6791,28,223,6568,yes
2003-11-25,S10_4962,10194,6791,26,249,6542,yes
2003-12-09,S10_4962,10207,6791,31,280,6511,yes
2004-02-04,S10_4962,10217,6791,48,328,6463,yes
2004-03-11,S10_4962,10229,6791,50,378,6413,yes
2004-05-04,S10_4962,10245,6791,28,406,6385,yes
2004-06-15,S10_4962,10259,6791,26,432,6359,yes
2004-07-19,S10_4962,10270,6791,32,464,6327,yes
2004-08-19,S10_4962,10281,6791,44,508,6283,yes
2004-09-08,S10_4962,10291,6791,30,538,6253,yes
2004-10-13,S10_4962,10305,6791,38,576,6215,yes
2004-10-22,S10_4962,10313,6791,40,616,6175,yes
2004-11-04,S10_4962,10322,6791,46,662,6129,yes
2004-11-19,S10_4962,10334,6791,26,688,6103,yes
2004-11-29,S10_4962,10347,6791,27,715,6076,yes
2004-12-10,S10_4962,10357,6791,43,758,6033,yes
2005-01-20,S10_4962,10370,6791,35,793,5998,yes
2005-02-17,S10_4962,10381,6791,37,830,5961,yes
2005-03-09,S10_4962,10391,6791,37,867,5924,yes
2005-05-01,S10_4962,10411,6791,27,894,5897,yes
2005-05-31,S10_4962,10425,6791,38,932,5859,yes
2003-03-03,S12_1099,10108,68,33,33,35,no
2003-05-08,S12_1099,10122,68,42,75,-7,no
2003-07-02,S12_1099,10135,68,42,117,-49,no
2003-09-05,S12_1099,10147,68,48,165,-97,no
2003-10-04,S12_1099,10300,68,33,198,-130,no
2003-10-10,S12_1099,10159,68,41,239,-171,no
2003-11-04,S12_1099,10169,68,30,269,-201,no
2003-11-12,S12_1099,10181,68,27,296,-228,no
2003-11-20,S12_1099,10191,68,21,317,-249,no
2003-12-02,S12_1099,10203,68,20,337,-269,no
2004-01-15,S12_1099,10211,68,41,378,-310,no
2004-02-22,S12_1099,10225,68,27,405,-337,no
2004-04-09,S12_1099,10238,68,28,433,-365,no
2004-06-01,S12_1099,10253,68,24,457,-389,no
2004-07-06,S12_1099,10266,68,44,501,-433,no
2004-08-02,S12_1099,10276,68,50,551,-483,no
2004-08-30,S12_1099,10287,68,21,572,-504,no
2004-10-16,S12_1099,10310,68,33,605,-537,no
2004-11-03,S12_1099,10320,68,31,636,-568,no
2004-11-15,S12_1099,10329,68,41,677,-609,no
2004-11-24,S12_1099,10341,68,45,722,-654,no
2004-12-04,S12_1099,10354,68,31,753,-685,no
2005-01-06,S12_1099,10363,68,33,786,-718,no
2005-02-03,S12_1099,10375,68,45,831,-763,no
2005-03-03,S12_1099,10389,68,26,857,-789,no
2005-04-08,S12_1099,10404,68,64,921,-853,no
2005-05-17,S12_1099,10419,68,12,933,-865,no
2003-02-11,S12_1108,10105,3619,41,41,3578,yes
2003-04-16,S12_1108,10117,3619,33,74,3545,yes
2003-06-03,S12_1108,10127,3619,46,120,3499,yes
2003-08-08,S12_1108,10142,3619,33,153,3466,yes
2003-09-28,S12_1108,10153,3619,20,173,3446,yes
2003-10-22,S12_1108,10165,3619,44,217,3402,yes
2003-11-06,S12_1108,10176,3619,33,250,3369,yes
2003-11-14,S12_1108,10185,3619,21,271,3348,yes
2003-11-26,S12_1108,10196,3619,47,318,3301,yes
2004-01-02,S12_1108,10208,3619,46,364,3255,yes
2004-02-12,S12_1108,10220,3619,32,396,3223,yes
2004-03-19,S12_1108,10231,3619,42,438,3181,yes
2004-05-05,S12_1108,10247,3619,44,482,3137,yes
2004-06-16,S12_1108,10260,3619,46,528,3091,yes
2004-07-20,S12_1108,10272,3619,35,563,3056,yes
2004-08-20,S12_1108,10282,3619,41,604,3015,yes
2004-09-09,S12_1108,10293,3619,46,650,2969,yes
2004-10-14,S12_1108,10306,3619,31,681,2938,yes
2004-10-22,S12_1108,10314,3619,38,719,2900,yes
2004-11-01,S12_1108,10348,3619,48,767,2852,yes
2004-11-05,S12_1108,10325,3619,42,809,2810,yes
2004-11-20,S12_1108,10336,3619,33,842,2777,yes
2004-12-15,S12_1108,10359,3619,42,884,2735,yes
2005-01-23,S12_1108,10371,3619,32,916,2703,yes
2005-02-17,S12_1108,10382,3619,34,950,2669,yes
2005-03-17,S12_1108,10395,3619,33,983,2636,yes
2005-05-05,S12_1108,10413,3619,36,1019,2600,yes
2003-01-29,S12_1666,10103,1579,27,27,1552,yes
2003-03-26,S12_1666,10113,1579,21,48,1531,yes
2003-05-28,S12_1666,10126,1579,21,69,1510,yes
2003-07-24,S12_1666,10140,1579,38,107,1472,yes
2003-09-19,S12_1666,10150,1579,30,137,1442,yes
2003-10-21,S12_1666,10164,1579,49,186,1393,yes
2003-11-06,S12_1666,10174,1579,43,229,1350,yes
2003-11-13,S12_1666,10183,1579,41,270,1309,yes
2003-11-25,S12_1666,10194,1579,38,308,1271,yes
2003-12-05,S12_1666,10206,1579,28,336,1243,yes
2004-02-02,S12_1666,10216,1579,43,379,1200,yes
2004-03-11,S12_1666,10229,1579,25,404,1175,yes
2004-05-04,S12_1666,10245,1579,38,442,1137,yes
2004-06-15,S12_1666,10258,1579,41,483,1096,yes
2004-07-19,S12_1666,10270,1579,28,511,1068,yes
2004-08-19,S12_1666,10281,1579,25,536,1043,yes
2004-09-08,S12_1666,10291,1579,41,577,1002,yes
2004-10-11,S12_1666,10304,1579,39,616,963,yes
2004-10-22,S12_1666,10313,1579,21,637,942,yes
2004-11-04,S12_1666,10322,1579,27,664,915,yes
2004-11-18,S12_1666,10333,1579,33,697,882,yes
2004-11-29,S12_1666,10347,1579,29,726,853,yes
2004-12-10,S12_1666,10357,1579,49,775,804,yes
2005-01-20,S12_1666,10370,1579,49,824,755,yes
2005-02-17,S12_1666,10381,1579,20,844,735,yes
2005-03-09,S12_1666,10391,1579,39,883,696,yes
2005-05-01,S12_1666,10411,1579,40,923,656,yes
2005-05-31,S12_1666,10424,1579,49,972,607,yes
2003-02-24,S12_2823,10107,9997,21,21,9976,yes
2003-05-07,S12_2823,10121,9997,50,71,9926,yes
2003-07-01,S12_2823,10134,9997,20,91,9906,yes
2003-08-25,S12_2823,10145,9997,49,140,9857,yes
2003-10-10,S12_2823,10159,9997,38,178,9819,yes
2003-11-04,S12_2823,10169,9997,35,213,9784,yes
2003-11-11,S12_2823,10180,9997,40,253,9744,yes
2003-11-18,S12_2823,10189,9997,28,281,9716,yes
2003-12-01,S12_2823,10201,9997,25,306,9691,yes
2004-01-15,S12_2823,10211,9997,36,342,9655,yes
2004-02-21,S12_2823,10224,9997,43,385,9612,yes
2004-04-05,S12_2823,10237,9997,32,417,9580,yes
2004-05-18,S12_2823,10251,9997,46,463,9534,yes
2004-06-28,S12_2823,10263,9997,48,511,9486,yes
2004-08-02,S12_2823,10276,9997,43,554,9443,yes
2004-08-27,S12_2823,10285,9997,49,603,9394,yes
2004-09-30,S12_2823,10299,9997,24,627,9370,yes
2004-10-15,S12_2823,10309,9997,26,653,9344,yes
2004-11-03,S12_2823,10319,9997,30,683,9314,yes
2004-11-15,S12_2823,10329,9997,24,707,9290,yes
2004-11-24,S12_2823,10341,9997,55,762,9235,yes
2004-12-04,S12_2823,10354,9997,35,797,9200,yes
2005-01-05,S12_2823,10362,9997,22,819,9178,yes
2005-02-03,S12_2823,10375,9997,49,868,9129,yes
2005-03-03,S12_2823,10388,9997,44,912,9085,yes
2005-04-01,S12_2823,10399,9997,29,941,9056,yes
2005-04-08,S12_2823,10403,9997,66,1007,8990,yes
2005-05-13,S12_2823,10417,9997,21,1028,8969,yes
2003-01-31,S12_3148,10104,6906,34,34,6872,yes
2003-04-16,S12_3148,10117,6906,43,77,6829,yes
2003-06-03,S12_3148,10127,6906,46,123,6783,yes
2003-08-08,S12_3148,10142,6906,33,156,6750,yes
2003-09-28,S12_3148,10153,6906,42,198,6708,yes
2003-10-22,S12_3148,10165,6906,34,232,6674,yes
2003-11-06,S12_3148,10176,6906,47,279,6627,yes
2003-11-14,S12_3148,10185,6906,33,312,6594,yes
2003-11-26,S12_3148,10196,6906,24,336,6570,yes
2004-01-02,S12_3148,10208,6906,26,362,6544,yes
2004-02-12,S12_3148,10220,6906,30,392,6514,yes
2004-03-15,S12_3148,10230,6906,43,435,6471,yes
2004-05-05,S12_3148,10247,6906,25,460,6446,yes
2004-06-16,S12_3148,10260,6906,30,490,6416,yes
2004-07-20,S12_3148,10272,6906,27,517,6389,yes
2004-08-20,S12_3148,10282,6906,27,544,6362,yes
2004-09-09,S12_3148,10293,6906,24,568,6338,yes
2004-10-14,S12_3148,10306,6906,34,602,6304,yes
2004-10-22,S12_3148,10314,6906,46,648,6258,yes
2004-11-01,S12_3148,10348,6906,47,695,6211,yes
2004-11-05,S12_3148,10324,6906,27,722,6184,yes
2004-11-20,S12_3148,10336,6906,33,755,6151,yes
2004-12-10,S12_3148,10358,6906,49,804,6102,yes
2005-01-26,S12_3148,10372,6906,40,844,6062,yes
2005-02-17,S12_3148,10382,6906,37,881,6025,yes
2005-03-11,S12_3148,10393,6906,35,916,5990,yes
2005-05-05,S12_3148,10413,6906,47,963,5943,yes
2003-03-03,S12_3380,10108,9123,45,45,9078,yes
2003-05-08,S12_3380,10122,9123,37,82,9041,yes
2003-07-02,S12_3380,10135,9123,48,130,8993,yes
2003-09-05,S12_3380,10147,9123,31,161,8962,yes
2003-10-04,S12_3380,10300,9123,29,190,8933,yes
2003-10-11,S12_3380,10160,9123,46,236,8887,yes
2003-11-04,S12_3380,10170,9123,47,283,8840,yes
2003-11-12,S12_3380,10181,9123,28,311,8812,yes
2003-11-20,S12_3380,10191,9123,40,351,8772,yes
2003-12-02,S12_3380,10203,9123,20,371,8752,yes
2004-01-16,S12_3380,10212,9123,39,410,8713,yes
2004-02-22,S12_3380,10225,9123,25,435,8688,yes
2004-04-09,S12_3380,10238,9123,29,464,8659,yes
2004-06-01,S12_3380,10253,9123,22,486,8637,yes
2004-07-06,S12_3380,10266,9123,22,508,8615,yes
2004-08-02,S12_3380,10276,9123,47,555,8568,yes
2004-08-30,S12_3380,10287,9123,45,600,8523,yes
2004-10-16,S12_3380,10310,9123,24,624,8499,yes
2004-11-03,S12_3380,10320,9123,35,659,8464,yes
2004-11-15,S12_3380,10329,9123,46,705,8418,yes
2004-11-24,S12_3380,10341,9123,44,749,8374,yes
2004-12-04,S12_3380,10354,9123,29,778,8345,yes
2005-01-06,S12_3380,10363,9123,34,812,8311,yes
2005-02-08,S12_3380,10376,9123,35,847,8276,yes
2005-03-03,S12_3380,10389,9123,25,872,8251,yes
2005-04-08,S12_3380,10404,9123,43,915,8208,yes
2005-05-17,S12_3380,10419,9123,10,925,8198,yes
2003-02-11,S12_3891,10105,1049,29,29,1020,yes
2003-04-16,S12_3891,10117,1049,39,68,981,yes
2003-06-03,S12_3891,10127,1049,42,110,939,yes
2003-08-08,S12_3891,10142,1049,46,156,893,yes
2003-09-28,S12_3891,10153,1049,49,205,844,yes
2003-10-22,S12_3891,10165,1049,27,232,817,yes
2003-11-06,S12_3891,10176,1049,50,282,767,yes
2003-11-14,S12_3891,10185,1049,43,325,724,yes
2003-11-26,S12_3891,10196,1049,38,363,686,yes
2004-01-02,S12_3891,10208,1049,20,383,666,yes
2004-02-12,S12_3891,10220,1049,27,410,639,yes
2004-03-19,S12_3891,10231,1049,49,459,590,yes
2004-05-05,S12_3891,10247,1049,27,486,563,yes
2004-06-16,S12_3891,10260,1049,44,530,519,yes
2004-07-20,S12_3891,10272,1049,39,569,480,yes
2004-08-20,S12_3891,10282,1049,24,593,456,yes
2004-09-09,S12_3891,10293,1049,45,638,411,yes
2004-10-14,S12_3891,10306,1049,20,658,391,yes
2004-10-22,S12_3891,10314,1049,36,694,355,yes
2004-11-05,S12_3891,10325,1049,24,718,331,yes
2004-11-20,S12_3891,10336,1049,49,767,282,yes
2004-12-01,S12_3891,10349,1049,26,793,256,yes
2004-12-15,S12_3891,10359,1049,49,842,207,yes
2005-01-26,S12_3891,10372,1049,34,876,173,yes
2005-02-17,S12_3891,10382,1049,34,910,139,yes
2005-03-23,S12_3891,10396,1049,33,943,106,yes
2005-05-05,S12_3891,10413,1049,22,965,84,yes
2003-03-03,S12_3990,10108,5663,39,39,5624,yes
2003-05-08,S12_3990,10122,5663,32,71,5592,yes
2003-07-02,S12_3990,10135,5663,24,95,5568,yes
2003-09-05,S12_3990,10147,5663,21,116,5547,yes
2003-10-04,S12_3990,10300,5663,22,138,5525,yes
2003-10-10,S12_3990,10159,5663,24,162,5501,yes
2003-11-04,S12_3990,10169,5663,36,198,5465,yes
2003-11-12,S12_3990,10181,5663,20,218,5445,yes
2003-11-20,S12_3990,10191,5663,30,248,5415,yes
2003-12-02,S12_3990,10203,5663,44,292,5371,yes
2004-01-15,S12_3990,10211,5663,28,320,5343,yes
2004-02-22,S12_3990,10225,5663,37,357,5306,yes
2004-04-09,S12_3990,10238,5663,20,377,5286,yes
2004-06-01,S12_3990,10253,5663,25,402,5261,yes
2004-07-06,S12_3990,10266,5663,35,437,5226,yes
2004-08-02,S12_3990,10276,5663,38,475,5188,yes
2004-08-30,S12_3990,10287,5663,41,516,5147,yes
2004-10-16,S12_3990,10310,5663,49,565,5098,yes
2004-11-03,S12_3990,10320,5663,38,603,5060,yes
2004-11-15,S12_3990,10329,5663,33,636,5027,yes
2004-11-24,S12_3990,10341,5663,36,672,4991,yes
2004-12-04,S12_3990,10354,5663,23,695,4968,yes
2005-01-06,S12_3990,10363,5663,34,729,4934,yes
2005-02-09,S12_3990,10377,5663,24,753,4910,yes
2005-03-03,S12_3990,10389,5663,36,789,4874,yes
2005-04-08,S12_3990,10404,5663,77,866,4797,yes
2005-05-17,S12_3990,10419,5663,34,900,4763,yes
2003-01-31,S12_4473,10104,6125,41,41,6084,yes
2003-04-04,S12_4473,10115,6125,46,87,6038,yes
2003-06-03,S12_4473,10127,6125,24,111,6014,yes
2003-08-01,S12_4473,10141,6125,21,132,5993,yes
2003-09-21,S12_4473,10151,6125,24,156,5969,yes
2003-10-22,S12_4473,10165,6125,48,204,5921,yes
2003-11-06,S12_4473,10175,6125,26,230,5895,yes
2003-11-14,S12_4473,10184,6125,37,267,5858,yes
2003-11-25,S12_4473,10195,6125,49,316,5809,yes
2003-12-09,S12_4473,10207,6125,34,350,5775,yes
2004-02-10,S12_4473,10219,6125,48,398,5727,yes
2004-03-11,S12_4473,10229,6125,36,434,5691,yes
2004-05-05,S12_4473,10246,6125,46,480,5645,yes
2004-06-15,S12_4473,10259,6125,46,526,5599,yes
2004-07-20,S12_4473,10271,6125,31,557,5568,yes
2004-08-19,S12_4473,10281,6125,41,598,5527,yes
2004-09-08,S12_4473,10292,6125,21,619,5506,yes
2004-10-13,S12_4473,10305,6125,38,657,5468,yes
2004-10-22,S12_4473,10314,6125,45,702,5423,yes
2004-11-05,S12_4473,10324,6125,26,728,5397,yes
2004-11-20,S12_4473,10336,6125,38,766,5359,yes
2004-12-01,S12_4473,10349,6125,48,814,5311,yes
2004-12-10,S12_4473,10358,6125,42,856,5269,yes
2005-01-23,S12_4473,10371,6125,49,905,5220,yes
2005-02-17,S12_4473,10382,6125,32,937,5188,yes
2005-03-11,S12_4473,10393,6125,32,969,5156,yes
2005-05-03,S12_4473,10412,6125,54,1023,5102,yes
2005-05-31,S12_4473,10425,6125,33,1056,5069,yes
2003-03-03,S12_4675,10108,7323,36,36,7287,yes
2003-05-08,S12_4675,10122,7323,20,56,7267,yes
2003-07-02,S12_4675,10135,7323,29,85,7238,yes
2003-09-05,S12_4675,10147,7323,33,118,7205,yes
2003-10-04,S12_4675,10300,7323,23,141,7182,yes
2003-10-11,S12_4675,10160,7323,50,191,7132,yes
2003-11-04,S12_4675,10170,7323,41,232,7091,yes
2003-11-12,S12_4675,10181,7323,36,268,7055,yes
2003-11-20,S12_4675,10192,7323,27,295,7028,yes
2003-12-02,S12_4675,10203,7323,47,342,6981,yes
2004-01-16,S12_4675,10212,7323,33,375,6948,yes
2004-02-22,S12_4675,10225,7323,21,396,6927,yes
2004-04-12,S12_4675,10239,7323,21,417,6906,yes
2004-06-01,S12_4675,10253,7323,41,458,6865,yes
2004-07-06,S12_4675,10266,7323,40,498,6825,yes
2004-08-04,S12_4675,10277,7323,28,526,6797,yes
2004-08-30,S12_4675,10287,7323,23,549,6774,yes
2004-10-16,S12_4675,10310,7323,25,574,6749,yes
2004-11-04,S12_4675,10321,7323,24,598,6725,yes
2004-11-15,S12_4675,10329,7323,39,637,6686,yes
2004-11-24,S12_4675,10341,7323,55,692,6631,yes
2004-12-04,S12_4675,10354,7323,28,720,6603,yes
2005-01-06,S12_4675,10363,7323,46,766,6557,yes
2005-02-09,S12_4675,10377,7323,50,816,6507,yes
2005-03-03,S12_4675,10389,7323,47,863,6460,yes
2005-04-14,S12_4675,10405,7323,97,960,6363,yes
2005-05-17,S12_4675,10419,7323,32,992,6331,yes
2003-01-29,S18_1097,10103,2613,35,35,2578,yes
2003-03-26,S18_1097,10113,2613,49,84,2529,yes
2003-05-28,S18_1097,10126,2613,38,122,2491,yes
2003-07-24,S18_1097,10140,2613,32,154,2459,yes
2003-09-19,S18_1097,10150,2613,34,188,2425,yes
2003-10-21,S18_1097,10164,2613,36,224,2389,yes
2003-11-06,S18_1097,10174,2613,48,272,2341,yes
2003-11-13,S18_1097,10183,2613,21,293,2320,yes
2003-11-25,S18_1097,10194,2613,21,314,2299,yes
2003-12-05,S18_1097,10206,2613,34,348,2265,yes
2004-01-29,S18_1097,10215,2613,46,394,2219,yes
2004-03-10,S18_1097,10228,2613,32,426,2187,yes
2004-05-04,S18_1097,10245,2613,29,455,2158,yes
2004-06-15,S18_1097,10258,2613,41,496,2117,yes
2004-07-19,S18_1097,10270,2613,43,539,2074,yes
2004-08-17,S18_1097,10280,2613,24,563,2050,yes
2004-09-08,S18_1097,10291,2613,41,604,2009,yes
2004-10-11,S18_1097,10304,2613,46,650,1963,yes
2004-10-21,S18_1097,10312,2613,32,682,1931,yes
2004-11-04,S18_1097,10322,2613,22,704,1909,yes
2004-11-18,S18_1097,10333,2613,29,733,1880,yes
2004-11-29,S18_1097,10347,2613,42,775,1838,yes
2004-12-10,S18_1097,10357,2613,39,814,1799,yes
2005-01-20,S18_1097,10370,2613,27,841,1772,yes
2005-02-17,S18_1097,10381,2613,48,889,1724,yes
2005-03-09,S18_1097,10391,2613,29,918,1695,yes
2005-05-01,S18_1097,10411,2613,27,945,1668,yes
2005-05-31,S18_1097,10424,2613,54,999,1614,yes
2003-03-10,S18_1129,10109,3975,26,26,3949,yes
2003-05-08,S18_1129,10122,3975,34,60,3915,yes
2003-07-04,S18_1129,10136,3975,25,85,3890,yes
2003-09-11,S18_1129,10148,3975,23,108,3867,yes
2003-10-05,S18_1129,10301,3975,37,145,3830,yes
2003-10-17,S18_1129,10161,3975,28,173,3802,yes
2003-11-05,S18_1129,10171,3975,35,208,3767,yes
2003-11-12,S18_1129,10181,3975,44,252,3723,yes
2003-11-20,S18_1129,10192,3975,22,274,3701,yes
2003-12-02,S18_1129,10204,3975,42,316,3659,yes
2004-01-16,S18_1129,10212,3975,29,345,3630,yes
2004-02-22,S18_1129,10225,3975,32,377,3598,yes
